Location,Order Id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Modifier Id,Master Id,Modifier SKU,Modifier PLU,Modifier,Option Group ID,Option Group Name,Parent Menu Selection Item ID,Parent Menu Selection,Sales Category,Gross Price,Discount,Net Price,Qty,Void?,Void Reason ID,Void Reason
1234 Elmwood Avenue,900000004022520275,11,4/10/24 6:16 PM,4/10/24 6:14 PM,900000004022520271,Bartender A,,,Dinner,,900000004022520260,,,,,Crispy,,,900000000019711890,Curly Fries,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004022520275,11,4/10/24 6:16 PM,4/10/24 6:14 PM,900000004022520271,Bartender A,,,Dinner,,900000004022520263,9.00000000019805e+17,9.00000000019805e+17,,,MAYO,9.00000000019797e+17,Sandwich Toppings,900000000019755906,Cheeseburger,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004022520275,11,4/10/24 6:16 PM,4/10/24 6:14 PM,900000004022520271,Bartender A,,,Dinner,,900000004022520264,9.000000000338474e+17,9.000000000338474e+17,,,Pepper Jack,9.000000000338367e+17,Cheese Choice,900000000019755906,Cheeseburger,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004022520275,11,4/10/24 6:16 PM,4/10/24 6:14 PM,900000004022520271,Bartender A,,,Dinner,,900000004022520267,9.000000000677722e+17,9.000000000677722e+17,,,Ranch,9.000000000677683e+17,Sauce,900000000213998188,Onion Rings,,0.75,0.0,0.75,1.0,False,,
1234 Elmwood Avenue,900000004023552887,12,4/10/24 6:47 PM,4/10/24 6:16 PM,900000004023552886,Bartender A,,,Dinner,,900000004023552864,9.000000000354468e+17,9.000000000354468e+17,,,Grilled,9.000000000354465e+17,Prep Method,900000000035443027,Chicken,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004023552887,12,4/10/24 6:47 PM,4/10/24 6:16 PM,900000004023552886,Bartender A,,,Dinner,,900000004023552865,9.000000000354431e+17,9.000000000354431e+17,,,Chicken,9.00000000035439e+17,Protein - Salad,900000000036066619,House Salad,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004023552887,12,4/10/24 6:47 PM,4/10/24 6:16 PM,900000004023552886,Bartender A,,,Dinner,,900000004023552866,9.000000000198427e+17,9.000000000198427e+17,,,Blue Cheese,9.000000000360704e+17,House Salad Dressing Choice,900000000036066619,House Salad,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004023552887,12,4/10/24 6:47 PM,4/10/24 6:16 PM,900000004023552886,Bartender A,,,Dinner,,900000004023552867,,,,,No Onion,,,900000000036066619,House Salad,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004023552887,12,4/10/24 6:47 PM,4/10/24 6:16 PM,900000004023552886,Bartender A,,,Dinner,,900000004023552873,9.000000000198427e+17,9.000000000198427e+17,,,RANCH,9.000000000198414e+17,Dipping Sauce,900000000433809120,Fried Mushrooms,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004023552887,12,4/10/24 6:47 PM,4/10/24 6:16 PM,900000004023552886,Bartender A,,,Dinner,,900000004023552876,9.000000000338474e+17,9.000000000338474e+17,,,Pepper Jack,9.000000000338367e+17,Cheese Choice,900000000019755904,Bacon Cheese Burger,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004023552887,12,4/10/24 6:47 PM,4/10/24 6:16 PM,900000004023552886,Bartender A,,,Dinner,,900000004023552877,9.00000000019805e+17,9.00000000019805e+17,,,MAYO,9.00000000019797e+17,Sandwich Toppings,900000000019755904,Bacon Cheese Burger,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004023552887,12,4/10/24 6:47 PM,4/10/24 6:16 PM,900000004023552886,Bartender A,,,Dinner,,900000004023552878,9.00000000019805e+17,9.00000000019805e+17,,,P,9.00000000019797e+17,Sandwich Toppings,900000000019755904,Bacon Cheese Burger,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004023552887,12,4/10/24 6:47 PM,4/10/24 6:16 PM,900000004023552886,Bartender A,,,Dinner,,900000004023552879,9.00000000019805e+17,9.00000000019805e+17,,,L,9.00000000019797e+17,Sandwich Toppings,900000000019755904,Bacon Cheese Burger,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004023552887,12,4/10/24 6:47 PM,4/10/24 6:16 PM,900000004023552886,Bartender A,,,Dinner,,900000004023552880,9.00000000019805e+17,9.00000000019805e+17,,,T,9.00000000019797e+17,Sandwich Toppings,900000000019755904,Bacon Cheese Burger,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004023591933,13,4/10/24 6:53 PM,4/10/24 6:48 PM,900000004023591929,Bartender A,,,Dinner,,900000004023739086,9.000000000226191e+17,9.000000000226191e+17,,,Buffalo,9.00000000022619e+17,Wing Sauce,900000000019694093,Boneless Wings,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004023591933,13,4/10/24 6:53 PM,4/10/24 6:48 PM,900000004023591929,Bartender A,,,Dinner,,900000004023739090,9.000000000226191e+17,9.000000000226191e+17,,,Buffalo,9.00000000022619e+17,Wing Sauce,900000000019694093,Boneless Wings,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004023591933,13,4/10/24 6:53 PM,4/10/24 6:48 PM,900000004023591929,Bartender A,,,Dinner,,900000004023739091,9.000000000198427e+17,9.000000000198427e+17,,,RANCH,9.000000000198414e+17,Dipping Sauce,900000000019694093,Boneless Wings,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004023591933,13,4/10/24 6:53 PM,4/10/24 6:48 PM,900000004023591929,Bartender A,,,Dinner,,900000004023739094,9.000000000681802e+17,9.000000000681802e+17,,,M,9.00000000019797e+17,Sandwich Toppings,900000000019755902,Tenderloin,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004023591933,13,4/10/24 6:53 PM,4/10/24 6:48 PM,900000004023591929,Bartender A,,,Dinner,,900000004023739095,9.00000000019805e+17,9.00000000019805e+17,,,L,9.00000000019797e+17,Sandwich Toppings,900000000019755902,Tenderloin,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004023591933,13,4/10/24 6:53 PM,4/10/24 6:48 PM,900000004023591929,Bartender A,,,Dinner,,900000004023739096,9.000000000197119e+17,9.000000000197119e+17,,,Curly Fries,9.000000000337802e+17,Sides Selection,900000000019755902,Tenderloin,Food,3.0,0.0,3.0,1.0,False,,
1234 Elmwood Avenue,900000004023591933,13,4/10/24 6:53 PM,4/10/24 6:48 PM,900000004023591929,Bartender A,,,Dinner,,900000004023739097,9.00000000019805e+17,9.00000000019805e+17,,,MAYO,9.00000000019797e+17,Sandwich Toppings,900000000019755902,Tenderloin,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004024227002,15,4/10/24 7:08 PM,4/10/24 7:07 PM,900000004024227001,Bartender A,,,Dinner,,900000004024226335,9.000000011337288e+17,9.000000011337288e+17,,,Mild Taco Sauce,9.000000011336943e+17,Taco Sauce,900000001133620863,Fried Beef Tacos,,0.0,0.0,0.0,1.0,False,,
1234 Elmwood Avenue,900000004024227002,15,4/10/24 7:08 PM,4/10/24 7:07 PM,900000004024227001,Bartender A,,,Dinner,,900000004024226336,9.000000011336605e+17,9.000000011336605e+17,,,3 Tacos,9.000000011336605e+17,Size,900000001133620863,Fried Beef Tacos,,7.0,0.0,7.0,1.0,False,,
1234 Elmwood Avenue,900000004024227002,15,4/10/24 7:08 PM,4/10/24 7:07 PM,900000004024227001,Bartender A,,,Dinner,,900000004024226337,9.000000000227158e+17,9.000000000227158e+17,,,Sour Cream,9.000000011338575e+17,Taco Extras,900000001133620863,Fried Beef Tacos,,0.5,0.0,0.5,1.0,False,,
1234 Elmwood Avenue,900000004024227002,15,4/10/24 7:08 PM,4/10/24 7:07 PM,900000004024227001,Bartender A,,,Dinner,,900000004024226341,9.000000011337288e+17,9.000000011337288e+17,,,Mild Taco Sauce,9.000000011336943e+17,Taco Sauce,900000001133620863,Fried Beef Tacos,,0.0,0.0,0.0,1.0,False,,
