Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Tags,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
9.00000000019652e+17,9.00000000019652e+17,,Food,Sides,,,,5.16,9.0,0.375,49.25,0.3224222585924713,8.0,41.25,1.0,8.0,4.0,37.25,6,0.6666666666666666,0.0,0.3478260869565217,0.0898876404494382,0.0,0.2785046728971962,0.1038124965163591
9.000000000197119e+17,9.000000000197119e+17,9.00000000019652e+17,Food,Sides,,Tater Tots,Tater Tots,3.0,1.0,0.1111111111111111,3.0,0.0609137055837563,1.0,3.0,0.0,0.0,0.0,3.0,1,0.1666666666666666,0.125,0.0434782608695652,0.0112359550561797,0.0805369127516778,0.022429906542056,0.0083607379744718
9.000000000197119e+17,9.000000000197119e+17,9.00000000019652e+17,Food,Sides,,Curly Fries,Fries,3.75,1.0,0.1111111111111111,3.75,0.0761421319796954,1.0,3.75,0.0,0.0,0.0,3.75,1,0.1666666666666666,0.125,0.0434782608695652,0.0112359550561797,0.1006711409395973,0.02803738317757,0.0104509224680898
9.000000002139982e+17,9.000000002139982e+17,9.00000000019652e+17,Food,Sides,,Onion Rings,Onion Rings,4.5,3.0,0.3333333333333333,13.5,0.2741116751269035,3.0,13.5,0.0,0.0,0.0,13.5,3,0.5,0.375,0.1304347826086956,0.0337078651685393,0.3624161073825503,0.1009345794392523,0.0376233208851234
9.000000000196941e+17,9.000000000196941e+17,9.00000000019652e+17,Food,Sides,,Fried Cauliflower,Fried Cauliflower,6.0,1.0,0.1111111111111111,6.0,0.1218274111675127,1.0,6.0,0.0,0.0,0.0,6.0,1,0.1666666666666666,0.125,0.0434782608695652,0.0112359550561797,0.1610738255033557,0.0448598130841121,0.0167214759489437
9.000000000552639e+17,9.000000000552639e+17,9.00000000019652e+17,Food,Sides,,Cheese Curds,Cheese Curds,8.0,2.0,0.2222222222222222,16.0,0.3248730964467005,1.0,8.0,1.0,8.0,4.0,4.0,2,0.3333333333333333,0.125,0.0434782608695652,0.0112359550561797,0.1073825503355704,0.0299065420560747,0.0111476506326291
9.000000004338092e+17,9.000000004338092e+17,9.00000000019652e+17,Food,Sides,,Fried Mushrooms,,7.0,1.0,0.1111111111111111,7.0,0.1421319796954314,1.0,7.0,0.0,0.0,0.0,7.0,1,0.1666666666666666,0.125,0.0434782608695652,0.0112359550561797,0.1879194630872483,0.0523364485981308,0.019508388607101
9.00000000019652e+17,9.00000000019652e+17,,Food,Kids Menu,,,,6.75,1.0,0.0416666666666666,6.75,0.044189852700491,1.0,6.75,0.0,0.0,0.0,6.75,1,0.1111111111111111,0.0,0.0434782608695652,0.0112359550561797,0.0,0.0504672897196261,0.0188116604425617
9.000000000227273e+17,9.000000000227273e+17,9.00000000019652e+17,Food,Kids Menu,,Chicken Strips,,6.75,1.0,1.0,6.75,1.0,1.0,6.75,0.0,0.0,0.0,6.75,1,1.0,1.0,0.0434782608695652,0.0112359550561797,1.0,0.0504672897196261,0.0188116604425617
,,,Liquor,,,,,3.763333333333333,3.0,0.0333333333333333,11.29,0.0298819543698057,3.0,11.29,0.0,0.0,0.0,11.29,3,0.09375,0.0,0.0,0.0337078651685393,0.0,0.0,0.0314642439105958
9.000000001583023e+17,9.000000001583023e+17,,Liquor,Whiskey,,,,4.0,2.0,0.6666666666666666,8.0,0.70859167404783,2.0,8.0,0.0,0.0,0.0,8.0,2,0.6666666666666666,0.0,0.6666666666666666,0.0224719101123595,0.0,0.70859167404783,0.0222953012652583
9.000000002225152e+17,9.000000002225152e+17,9.000000001583023e+17,Liquor,Whiskey,,Canadian Club SGL,,4.0,2.0,1.0,8.0,1.0,2.0,8.0,0.0,0.0,0.0,8.0,2,1.0,1.0,0.6666666666666666,0.0224719101123595,1.0,0.70859167404783,0.0222953012652583
9.000000002226445e+17,9.000000002226445e+17,,Liquor,Cordials,,,,3.29,1.0,0.3333333333333333,3.29,0.2914083259521701,1.0,3.29,0.0,0.0,0.0,3.29,1,0.3333333333333333,0.0,0.3333333333333333,0.0112359550561797,0.0,0.2914083259521701,0.0091689426453374
